Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.7866053578568573,0.019299775467975625,0.7622949869603014,0.06037666068339027,0.5700996677740864,0.018026126200997424,0.651082251082251,0.02367512023384624,0.8428336101882612,0.018955495726884704
LDA,0.7866053578568573,0.022465034543261476,0.7579271708683473,0.060232661757207116,0.5747508305647842,0.022727749337524358,0.652908735100516,0.03145396102317769,0.8430038759689923,0.01969181078047909
SVM (RBF),0.7785019325603092,0.007924772236874622,0.7422959107169633,0.05723538517366937,0.5748615725359911,0.06736935732957015,0.6421891959828874,0.024379170027975038,0.8337140088593576,0.02207775887000172
AdaBoost,0.7703585232573638,0.013964032213748923,0.7022951522951523,0.03656378735039291,0.5981173864894795,0.02705913840259112,0.6448462302155527,0.01536890294951153,0.8186510243632338,0.022057941161948973
Random Forest,0.7687325069972012,0.015016914979719824,0.7023088023088022,0.04515660848869787,0.5934662236987818,0.023272682802530986,0.641672167395644,0.008528815558435623,0.8214777131782945,0.021448461190506387
Extra Trees,0.7638544582167134,0.006882413053917764,0.6958057695926759,0.02941819133338245,0.579623477297896,0.04236426835244123,0.6304351632505922,0.01633998102219987,0.8265573089700997,0.02834311300534632
Bagging,0.7638411302145809,0.033332382080903396,0.6904298801973221,0.07140371478616968,0.6025470653377629,0.04156646450418359,0.6408808678062045,0.03923118851552522,0.8058014950166112,0.027094576382720163
Naive Bayes,0.7622684259629482,0.027954308120883148,0.685894095154931,0.058674172505060004,0.5984496124031008,0.0517467264132671,0.6368767035433701,0.038406267803998466,0.8279554263565891,0.009306463065653928
KNN,0.7524190323870452,0.03526888551611005,0.6832841282329873,0.08695761252474295,0.5653377630121815,0.024886162850768802,0.615749905806312,0.03592958934977917,0.8079796511627908,0.03225232727923651
Gradient Boosting,0.7491536718645875,0.01993070704489414,0.6645775922981805,0.05126608102203342,0.5792912513842747,0.04037209399531613,0.6167471477228987,0.023887663040209714,0.8183194905869324,0.01752247318943634
MLP (ANN),0.7264027722244435,0.027309255246396227,0.610061490936644,0.03568179242370315,0.5934662236987819,0.05601442315596666,0.6011700685896854,0.04405357783346063,0.7913773532668882,0.026972877628744747
Decision Tree,0.6644942023190723,0.007929164406010878,0.5177459445316588,0.012748888180351806,0.5655592469545958,0.048821512055812075,0.5392742412136334,0.02141308036487365,0.6415296234772978,0.012191079236668336
